2018-09-18 15:23:12.285 [pool-2-thread-3] CommonUtil INFO  - ##### Flowengine successfully received a XFAgent update msg from worker, the temporarily cached taskCount 1 on this server will be reset to 0.
2018-09-18 15:23:13.892 [pool-2-thread-4] TaskStatusMessageHandler INFO  - Received a task status request on nb_flowengine_task_status_queue, redeliver? false
2018-09-18 15:23:13.892 [pool-2-thread-4] TaskStatusMessageHandler INFO  - Received task status message task_message_content_type_execution_end for selfTaskId=36d5b0d0-846d-413d-be51-b9c4f10ee252 rootTaskId=1fb8e172-af9d-44ce-2f38-2af9ee36fa1c 
2018-09-18 15:23:14.907 [pool-2-thread-3] TaskStatusMessageHandler INFO  - Received a task status request on nb_flowengine_task_status_queue, redeliver? false
2018-09-18 15:23:14.907 [pool-2-thread-3] TaskStatusMessageHandler INFO  - Received task status message task_message_content_type_execution_end for selfTaskId=1fb8e172-af9d-44ce-2f38-2af9ee36fa1c rootTaskId=1fb8e172-af9d-44ce-2f38-2af9ee36fa1c 
2018-09-18 15:23:14.913 [pool-2-thread-3] TaskController INFO  - Notify taskFlow=1fb8e172-af9d-44ce-2f38-2af9ee36fa1c end
2018-09-18 15:23:14.924 [pool-2-thread-4] AMQPTaskGateway INFO  - Received a task request from RMClient on prepared_tasks, redeliver? false
2018-09-18 15:23:14.925 [pool-2-thread-4] AMQPTaskGateway INFO  - Flowengine Taskgateway received a content=task_message_content_type_task for selftaskId= 977f93f1-efe1-4784-92e4-da8f1454b743
2018-09-18 15:23:14.930 [pool-4-thread-1] TaskController INFO  - selectBestXFAgent successfully selected the best XFAgent worker to execute this task: 977f93f1-efe1-4784-92e4-da8f1454b743 
2018-09-18 15:23:14.957 [pool-2-thread-3] TaskStatusMessageHandler INFO  - Received a task status request on nb_flowengine_task_status_queue, redeliver? false
2018-09-18 15:23:14.957 [pool-2-thread-3] TaskStatusMessageHandler INFO  - Received task status message task_message_content_type_execution_begin for selfTaskId=977f93f1-efe1-4784-92e4-da8f1454b743 rootTaskId=977f93f1-efe1-4784-92e4-da8f1454b743 
2018-09-18 15:23:14.959 [pool-2-thread-3] TaskController INFO  - Notify taskFlow=977f93f1-efe1-4784-92e4-da8f1454b743 begin
2018-09-18 15:23:14.962 [pool-2-thread-4] TaskQueueManagerImpl INFO  - flowengine received taskResult 0 back from XFAgent worker for taskid 977f93f1-efe1-4784-92e4-da8f1454b743.
2018-09-18 15:23:15.031 [pool-2-thread-3] TaskStatusMessageHandler INFO  - Received a task status request on nb_flowengine_task_status_queue, redeliver? false
2018-09-18 15:23:15.031 [pool-2-thread-3] TaskStatusMessageHandler INFO  - Received task status message task_message_content_type_execution_end for selfTaskId=977f93f1-efe1-4784-92e4-da8f1454b743 rootTaskId=977f93f1-efe1-4784-92e4-da8f1454b743 
2018-09-18 15:23:15.035 [pool-2-thread-3] TaskController INFO  - Notify taskFlow=977f93f1-efe1-4784-92e4-da8f1454b743 end
2018-09-18 15:23:17.282 [pool-2-thread-4] CommonUtil INFO  - ##### Flowengine successfully received a XFAgent update msg from worker, the temporarily cached taskCount 1 on this server will be reset to 0.
